Name,Year,Rating,Date
Jackass 3.5,2011,3,2021-07-27
Old,2021,1,2021-07-28
Jackass Presents: Bad Grandpa,2013,2,2021-07-28
Fear Street: 1994,2021,2.5,2021-07-29
Pink Flamingos,1972,3,2021-07-30
Fear Street: 1978,2021,2.5,2021-07-30
Fear Street: 1666,2021,3,2021-07-31
The Joy of Life,2005,4,2021-07-31
The Celluloid Closet,1995,4,2021-08-01
The World's End,2013,3,2021-08-01
Summer of Soul (...or When the Revolution Could Not Be Televised),2021,3.5,2021-08-02
Lingua Franca,2019,4.5,2021-08-03
Rock 'n' Roll High School,1979,3.5,2021-08-04
The Green Knight,2021,3.5,2021-08-05
Howard,2018,3.5,2021-08-07
Cabaret,1972,5,2021-08-07
The Diane Linkletter Story,1970,2.5,2021-08-08
Dorothy the Kansas City Pot Head,1968,,2021-08-08
30/30 Vision: Three Decades of Strand Releasing,2019,,2021-08-08
Night Is Short Walk on Girl,2017,4,2021-08-08
Gimme Shelter,1970,4,2021-08-09
Annette,2021,1.5,2021-08-09
Fear and Loathing in Las Vegas,1998,3.5,2021-08-10
Psycho Goreman,2020,4.5,2021-08-11
Moonstruck,1987,4.5,2021-08-12
First Reformed,2017,5,2021-08-12
Grand Illusion,1937,3.5,2021-08-13
Smiles of a Summer Night,1955,3.5,2021-08-13
Crisis,1946,2,2021-08-14
The Suicide Squad,2021,3.5,2021-08-14
The House with a Clock in Its Walls,2018,2,2021-08-15
Speed Racer,2008,5,2021-08-15
Arrival,2016,3,2021-08-17
The King of Staten Island,2020,3,2021-08-17
What We Do in the Shadows,2014,4,2021-08-20
Mandy,2018,4.5,2021-08-22
Annette,2021,1.5,2021-08-23
Free Guy,2021,3,2021-08-25
Shangri-La,2021,,2021-08-25
Eternal Sunshine of the Spotless Mind,2004,4,2021-08-26
Taxi Driver,1976,4,2021-08-26
Gone Girl,2014,3,2021-08-28
Inglourious Basterds,2009,4,2021-08-29
Hunt for the Wilderpeople,2016,3.5,2021-08-29
Candyman,1992,3,2021-08-30
The Wolf of Wall Street,2013,4,2021-08-31
Call Me by Your Name,2017,4,2021-08-31
CODA,2021,4.5,2021-09-01
American Psycho,2000,4.5,2021-09-02
Happier Than Ever: A Love Letter to Los Angeles,2021,3.5,2021-09-04
Moonlight,2016,4.5,2021-09-05
Coming to America,1988,3,2021-09-05
Kedi,2016,4,2021-09-05
Cinderella,2021,0.5,2021-09-06
Coming 2 America,2021,3,2021-09-06
Carrie,1976,3.5,2021-09-06
Black Swan,2010,4,2021-09-08
Naked Lunch,1991,3,2021-09-08
The Killing of a Sacred Deer,2017,4,2021-09-09
Nobody,2021,3,2021-09-10
Candyman,2021,3.5,2021-09-10
Evangelion: 1.0 You Are (Not) Alone,2007,3,2021-09-11
Evangelion: 2.0 You Can (Not) Advance,2009,3.5,2021-09-11
Freaky,2020,2.5,2021-09-11
Doctor Strange,2016,3,2021-09-12
Shrek,2001,4.5,2021-09-12
The Card Counter,2021,4.5,2021-09-13
The Stuff,1985,3.5,2021-09-14
Shang-Chi and the Legend of the Ten Rings,2021,3,2021-09-15
Brazil,1985,4.5,2021-09-16
He's All That,2021,1.5,2021-09-16
Hellraiser,1987,3.5,2021-09-17
Loki,2021,4,2021-09-17
Thor: The Dark World,2013,2.5,2021-09-18
The Red Shoes,1948,4,2021-09-21
9/21/21,2021,,2021-09-21
Suspiria,1977,3.5,2021-09-22
Before Sunrise,1995,5,2021-09-23
A Ship Bound for India,1947,2.5,2021-09-23
Señorita,2011,3,2021-09-24
Before Sunset,2004,5,2021-09-25
Hustlers,2019,3.5,2021-09-25
Before Midnight,2013,5,2021-09-26
Sisters,1972,4,2021-09-26
Dear Evan Hansen,2021,2,2021-09-28
Casino Royale,2006,3.5,2021-09-28
Apparition,2012,2.5,2021-09-29
They Live,1988,5,2021-09-30
Scooby-Doo! and KISS: Rock and Roll Mystery,2015,2,2021-10-03
Titane,2021,4,2021-10-04
Quantum of Solace,2008,2.5,2021-10-05
Malignant,2021,2.5,2021-10-06
Stop Making Sense,1984,5,2021-10-07
Black Widow,2021,2.5,2021-10-07
There's Someone Inside Your House,2021,2,2021-10-07
You're Next,2011,4,2021-10-08
